Time,Open,High,Low,Last,Change,%Chg,Volume
"2025-08-15 15:00",97.864,97.867,97.816,97.839,-0.025,-0.03%,0
"2025-08-15 14:00",97.853,97.873,97.846,97.864,0.012,+0.01%,0
"2025-08-15 13:00",97.843,97.883,97.828,97.852,0.009,+0.01%,0
"2025-08-15 12:00",97.843,97.878,97.833,97.843,0,0.00%,0
"2025-08-15 11:00",97.804,97.87,97.796,97.843,0.039,+0.04%,0
"2025-08-15 10:00",97.762,97.816,97.73,97.804,0.042,+0.04%,0
"2025-08-15 09:00",97.811,97.818,97.725,97.762,-0.05,-0.05%,0
"2025-08-15 08:00",97.847,97.93,97.761,97.812,-0.034,-0.03%,0
"2025-08-15 07:00",97.888,98.002,97.794,97.846,-0.042,-0.04%,0
"2025-08-15 06:00",97.888,97.929,97.855,97.888,0,0.00%,0
"2025-08-15 05:00",97.878,97.928,97.848,97.888,0.01,+0.01%,0
"2025-08-15 04:00",97.909,97.919,97.854,97.878,-0.031,-0.03%,0
"2025-08-15 03:00",97.908,97.947,97.891,97.909,0.001,0.00%,0
"2025-08-15 02:00",97.986,97.986,97.898,97.908,-0.078,-0.08%,0
"2025-08-15 01:00",97.999,98.044,97.972,97.986,-0.013,-0.01%,0
"2025-08-15 00:00",98.044,98.055,97.998,97.999,-0.045,-0.05%,0
"2025-08-14 23:00",98.07,98.072,98.039,98.044,-0.027,-0.03%,0
"2025-08-14 22:00",98.095,98.096,98.038,98.071,-0.024,-0.02%,0
"2025-08-14 21:00",98.126,98.155,98.095,98.095,-0.031,-0.03%,0
"2025-08-14 20:00",98.156,98.173,98.091,98.126,-0.029,-0.03%,0
"2025-08-14 19:00",98.187,98.214,98.147,98.155,-0.032,-0.03%,0
"2025-08-14 18:00",98.184,98.199,98.174,98.187,-0.009,-0.01%,0
"2025-08-14 17:00",98.194,98.203,98.189,98.196,0.002,0.00%,0
"2025-08-14 16:00",98.21,98.213,98.192,98.194,-0.017,-0.02%,0
"2025-08-14 15:00",98.201,98.225,98.185,98.211,0.011,+0.01%,0
"2025-08-14 14:00",98.253,98.253,98.182,98.2,-0.054,-0.05%,0
"2025-08-14 13:00",98.276,98.314,98.245,98.254,-0.022,-0.02%,0
"2025-08-14 12:00",98.303,98.319,98.229,98.276,-0.028,-0.03%,0
"2025-08-14 11:00",98.225,98.322,98.215,98.304,0.079,+0.08%,0
"2025-08-14 10:00",98.078,98.269,98.073,98.225,0.147,+0.15%,0
"2025-08-14 09:00",98.165,98.243,98.049,98.078,-0.088,-0.09%,0
"2025-08-14 08:00",98.024,98.166,97.99,98.166,0.142,+0.14%,0
"2025-08-14 07:00",97.828,98.112,97.795,98.024,0.196,+0.20%,0
"2025-08-14 06:00",97.78,97.856,97.771,97.828,0.047,+0.05%,0
"2025-08-14 05:00",97.863,97.871,97.753,97.781,-0.083,-0.08%,0
"2025-08-14 04:00",97.936,97.937,97.811,97.864,-0.072,-0.07%,0
"2025-08-14 03:00",97.871,97.937,97.828,97.936,0.065,+0.07%,0
"2025-08-14 02:00",97.826,97.884,97.768,97.871,0.044,+0.04%,0
"2025-08-14 01:00",97.739,97.827,97.684,97.827,0.087,+0.09%,0
"2025-08-14 00:00",97.709,97.774,97.709,97.74,0.031,+0.03%,0
"2025-08-13 23:00",97.733,97.744,97.695,97.709,-0.024,-0.02%,0
"2025-08-13 22:00",97.733,97.768,97.721,97.733,0,0.00%,0
"2025-08-13 21:00",97.659,97.77,97.659,97.733,0.074,+0.08%,0
"2025-08-13 20:00",97.687,97.687,97.632,97.659,-0.028,-0.03%,0
"2025-08-13 19:00",97.719,97.72,97.666,97.687,-0.032,-0.03%,0
"2025-08-13 18:00",97.754,97.754,97.719,97.719,-0.067,-0.07%,0
"2025-08-13 17:00",97.785,97.792,97.784,97.786,0.001,0.00%,0
"2025-08-13 16:00",97.797,97.81,97.778,97.785,-0.012,-0.01%,0
"2025-08-13 15:00",97.834,97.835,97.779,97.797,-0.037,-0.04%,0
"2025-08-13 14:00",97.84,97.863,97.813,97.834,-0.006,-0.01%,0
"2025-08-13 13:00",97.812,97.873,97.812,97.84,0.028,+0.03%,0
"2025-08-13 12:00",97.791,97.821,97.761,97.812,0.022,+0.02%,0
"2025-08-13 11:00",97.746,97.793,97.73,97.79,0.043,+0.04%,0
"2025-08-13 10:00",97.695,97.778,97.689,97.747,0.052,+0.05%,0
"2025-08-13 09:00",97.775,97.79,97.664,97.695,-0.078,-0.08%,0
"2025-08-13 08:00",97.843,97.88,97.768,97.773,-0.07,-0.07%,0
"2025-08-13 07:00",97.697,97.857,97.677,97.843,0.147,+0.15%,0
"2025-08-13 06:00",97.727,97.787,97.696,97.696,-0.031,-0.03%,0
"2025-08-13 05:00",97.629,97.729,97.629,97.727,0.099,+0.10%,0
"2025-08-13 04:00",97.739,97.739,97.626,97.628,-0.111,-0.11%,0
"2025-08-13 03:00",97.801,97.808,97.705,97.739,-0.062,-0.06%,0
"2025-08-13 02:00",97.949,97.95,97.765,97.801,-0.148,-0.15%,0
"2025-08-13 01:00",98.052,98.052,97.918,97.949,-0.103,-0.11%,0
"2025-08-13 00:00",98.023,98.077,98.016,98.052,0.029,+0.03%,0
"2025-08-12 23:00",98.032,98.055,98.016,98.023,-0.009,-0.01%,0
"2025-08-12 22:00",98.046,98.064,98.004,98.032,-0.015,-0.02%,0
"2025-08-12 21:00",98.08,98.13,98.021,98.047,-0.034,-0.03%,0
"2025-08-12 20:00",98.036,98.086,97.998,98.081,0.045,+0.05%,0
"2025-08-12 19:00",98.036,98.086,98.018,98.036,0,0.00%,0
"2025-08-12 18:00",98.043,98.043,98.023,98.036,-0.017,-0.02%,0
"2025-08-12 17:00",98.065,98.067,98.052,98.053,-0.012,-0.01%,0
"2025-08-12 16:00",98.065,98.095,98.044,98.065,0,0.00%,0
"2025-08-12 15:00",98.063,98.084,98.052,98.065,0.002,0.00%,0
"2025-08-12 14:00",98.096,98.131,98.052,98.063,-0.034,-0.03%,0
"2025-08-12 13:00",98.059,98.122,98.019,98.097,0.038,+0.04%,0
"2025-08-12 12:00",98.006,98.069,98.006,98.059,0.053,+0.05%,0
"2025-08-12 11:00",98.069,98.114,97.97,98.006,-0.063,-0.06%,0
"2025-08-12 10:00",98.202,98.217,97.897,98.069,-0.132,-0.13%,0
"2025-08-12 09:00",98.253,98.326,98.176,98.201,-0.052,-0.05%,0
"2025-08-12 08:00",98.289,98.482,98.136,98.253,-0.036,-0.04%,0
"2025-08-12 07:00",98.575,98.598,98.196,98.289,-0.286,-0.29%,0
"2025-08-12 06:00",98.545,98.622,98.539,98.575,0.029,+0.03%,0
"2025-08-12 05:00",98.562,98.567,98.513,98.546,-0.016,-0.02%,0
"2025-08-12 04:00",98.501,98.596,98.48,98.562,0.061,+0.06%,0
"2025-08-12 03:00",98.46,98.53,98.458,98.501,0.041,+0.04%,0
"2025-08-12 02:00",98.552,98.554,98.438,98.46,-0.093,-0.09%,0
"2025-08-12 01:00",98.534,98.553,98.481,98.553,0.02,+0.02%,0
"2025-08-12 00:00",98.449,98.539,98.438,98.533,0.084,+0.09%,0
"2025-08-11 23:00",98.496,98.538,98.449,98.449,-0.045,-0.05%,0
"2025-08-11 22:00",98.467,98.511,98.457,98.494,0.027,+0.03%,0
"2025-08-11 21:00",98.495,98.507,98.459,98.467,-0.028,-0.03%,0
"2025-08-11 20:00",98.53,98.534,98.448,98.495,-0.035,-0.04%,0
"2025-08-11 19:00",98.496,98.541,98.478,98.53,0.034,+0.03%,0
"2025-08-11 18:00",98.507,98.509,98.487,98.496,-0.002,0.00%,0
"2025-08-11 17:00",98.499,98.499,98.485,98.498,0,0.00%,0
"2025-08-11 16:00",98.505,98.52,98.491,98.498,-0.007,-0.01%,0
"2025-08-11 15:00",98.578,98.581,98.478,98.505,-0.072,-0.07%,0
"2025-08-11 14:00",98.519,98.598,98.516,98.577,0.057,+0.06%,0
"2025-08-11 13:00",98.515,98.546,98.495,98.52,0.005,+0.01%,0
"2025-08-11 12:00",98.544,98.607,98.507,98.515,-0.029,-0.03%,0
"2025-08-11 11:00",98.56,98.584,98.512,98.544,-0.017,-0.02%,0
"2025-08-11 10:00",98.631,98.67,98.552,98.561,-0.072,-0.07%,0
"2025-08-11 09:00",98.474,98.665,98.464,98.633,0.159,+0.16%,0
"2025-08-11 08:00",98.461,98.489,98.413,98.474,0.013,+0.01%,0
"2025-08-11 07:00",98.404,98.509,98.388,98.461,0.057,+0.06%,0
"2025-08-11 06:00",98.266,98.442,98.265,98.404,0.138,+0.14%,0
"2025-08-11 05:00",98.286,98.289,98.243,98.266,-0.021,-0.02%,0
"2025-08-11 04:00",98.176,98.305,98.158,98.287,0.112,+0.11%,0
"2025-08-11 03:00",98.215,98.236,98.14,98.175,-0.04,-0.04%,0
"2025-08-11 02:00",98.119,98.228,98.111,98.215,0.096,+0.10%,0
"2025-08-11 01:00",98.077,98.123,98.04,98.119,0.041,+0.04%,0
"2025-08-11 00:00",98.059,98.088,98.056,98.078,0.018,+0.02%,0
"2025-08-10 23:00",98.06,98.065,98.034,98.06,0,0.00%,0
"2025-08-10 22:00",98.107,98.118,98.038,98.06,-0.048,-0.05%,0
"2025-08-10 21:00",98.16,98.16,98.09,98.108,-0.053,-0.05%,0
"2025-08-10 20:00",98.235,98.248,98.161,98.161,-0.075,-0.08%,0
"2025-08-10 19:00",98.234,98.275,98.219,98.236,0.006,+0.01%,0
"2025-08-10 18:00",98.249,98.263,98.211,98.23,-0.02,-0.02%,0
"2025-08-10 17:00",98.237,99.32,98.208,98.25,-0.015,-0.02%,0
"Downloaded from Barchart.com as of 09-13-2025 05:19pm CDT"
